Country Name,Country Code,Region,IncomeGroup,Year,Tourists
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1995,188000.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1995,35000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,1995,1433000.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,1995,23000.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1995,28000.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1995,924000.0
Cuba,CUB,Latin America & Caribbean,Upper middle income,1995,745000.0
Curacao,CUW,Latin America & Caribbean,High income,1995,396000.0
Cayman Islands,CYM,Latin America & Caribbean,High income,1995,1044000.0
Cyprus,CYP,Europe & Central Asia,High income,1995,2253000.0
Germany,DEU,Europe & Central Asia,High income,1995,14847000.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,1995,21000.0
Dominica,DMA,Latin America & Caribbean,Upper middle income,1995,203000.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1995,1806000.0
Algeria,DZA,Middle East & North Africa,Upper middle income,1995,520000.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1995,440000.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1995,3133000.0
Eritrea,ERI,Sub-Saharan Africa,Low income,1995,315000.0
Spain,ESP,Europe & Central Asia,High income,1995,52460000.0
Estonia,EST,Europe & Central Asia,High income,1995,2111000.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,1995,103000.0
Finland,FIN,Europe & Central Asia,High income,1995,1779000.0
Fiji,FJI,East Asia & Pacific,Upper middle income,1995,476000.0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1995,203000.0
United Kingdom,GBR,Europe & Central Asia,High income,1995,23537000.0
Georgia,GEO,Europe & Central Asia,Upper middle income,1995,85000.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1995,286000.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1995,45000.0
Greece,GRC,Europe & Central Asia,High income,1995,10712000.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,1995,369000.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1995,563000.0
Guam,GUM,East Asia & Pacific,High income,1995,1362000.0
Guyana,GUY,Latin America & Caribbean,High income,1995,106000.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1995,10200000.0
Croatia,HRV,Europe & Central Asia,High income,1995,16100000.0
Haiti,HTI,Latin America & Caribbean,Lower middle income,1995,370000.0
Hungary,HUN,Europe & Central Asia,High income,1995,39240000.0
Indonesia,IDN,East Asia & Pacific,Upper middle income,1995,4324000.0
India,IND,South Asia,Lower middle income,1995,2124000.0
Ireland,IRL,Europe & Central Asia,High income,1995,4818000.0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1995,452000.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,1995,61000.0
Iceland,ISL,Europe & Central Asia,High income,1995,211000.0
Israel,ISR,Middle East & North Africa,High income,1995,2530000.0
Italy,ITA,Europe & Central Asia,High income,1995,55706000.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1995,1752000.0
Jordan,JOR,Middle East & North Africa,Lower middle income,1995,3277000.0
Japan,JPN,East Asia & Pacific,High income,1995,3345000.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1995,974000.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,1995,220000.0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1995,203000.0
"Korea, Rep.",KOR,East Asia & Pacific,High income,1995,3753000.0
Kuwait,KWT,Middle East & North Africa,High income,1995,1443000.0
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1995,346000.0
Lebanon,LBN,Middle East & North Africa,Lower middle income,1995,450000.0
Libya,LBY,Middle East & North Africa,Upper middle income,1995,1832000.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1995,407000.0
Liechtenstein,LIE,Europe & Central Asia,High income,1995,59000.0
Sri Lanka,LKA,South Asia,Lower middle income,1995,414000.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1995,209000.0
Lithuania,LTU,Europe & Central Asia,High income,1995,2600000.0
Luxembourg,LUX,Europe & Central Asia,High income,1995,768000.0
Latvia,LVA,Europe & Central Asia,High income,1995,1633000.0
"Macao SAR, China",MAC,East Asia & Pacific,High income,1995,7752000.0
Morocco,MAR,Middle East & North Africa,Lower middle income,1995,2752000.0
Monaco,MCO,Europe & Central Asia,High income,1995,233000.0
Moldova,MDA,Europe & Central Asia,Upper middle income,1995,32000.0
Madagascar,MDG,Sub-Saharan Africa,Low income,1995,115000.0
Maldives,MDV,South Asia,Upper middle income,1995,315000.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,1995,85446000.0
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1995,5500.0
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1995,147000.0
Mali,MLI,Sub-Saharan Africa,Low income,1995,42000.0
Malta,MLT,Middle East & North Africa,High income,1995,1193000.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,1995,194000.0
Mongolia,MNG,East Asia & Pacific,Upper middle income,1995,108000.0
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1995,676000.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1995,437000.0
Malawi,MWI,Sub-Saharan Africa,Low income,1995,192000.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,1995,7469000.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1995,421000.0
New Caledonia,NCL,East Asia & Pacific,High income,1995,86000.0
Niger,NER,Sub-Saharan Africa,Low income,1995,35000.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1995,1031000.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1995,341000.0
Netherlands,NLD,Europe & Central Asia,High income,1995,6574000.0
Norway,NOR,Europe & Central Asia,High income,1995,2880000.0
Nepal,NPL,South Asia,Lower middle income,1995,363000.0
New Zealand,NZL,East Asia & Pacific,High income,1995,1409000.0
Pakistan,PAK,South Asia,Lower middle income,1995,378000.0
Panama,PAN,Latin America & Caribbean,High income,1995,417000.0
Philippines,PHL,East Asia & Pacific,Lower middle income,1995,1760000.0
Palau,PLW,East Asia & Pacific,High income,1995,53000.0
Poland,POL,Europe & Central Asia,High income,1995,82244000.0
Puerto Rico,PRI,Latin America & Caribbean,High income,1995,4087000.0
Portugal,PRT,Europe & Central Asia,High income,1995,9511000.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1995,15678000.0
French Polynesia,PYF,East Asia & Pacific,High income,1995,186000.0
Romania,ROU,Europe & Central Asia,High income,1995,5445000.0
Russian Federation,RUS,Europe & Central Asia,High income,1995,10290000.0
Saudi Arabia,SAU,Middle East & North Africa,High income,1995,4398000.0
Sudan,SDN,Sub-Saharan Africa,Low income,1995,29000.0
Singapore,SGP,East Asia & Pacific,High income,1995,7137000.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1995,11800.00019
San Marino,SMR,Europe & Central Asia,High income,1995,3368000.0
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1995,6199.999809
Suriname,SUR,Latin America & Caribbean,Upper middle income,1995,69000.0
Slovenia,SVN,Europe & Central Asia,High income,1995,732000.0
Sweden,SWE,Europe & Central Asia,High income,1995,2310000.0
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1995,1024000.0
Seychelles,SYC,Sub-Saharan Africa,High income,1995,127000.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1995,2253000.0
Chad,TCD,Sub-Saharan Africa,Low income,1995,19000.0
Togo,TGO,Sub-Saharan Africa,Low income,1995,53000.0
Thailand,THA,East Asia & Pacific,Upper middle income,1995,6952000.0
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1995,233000.0
Tonga,TON,East Asia & Pacific,Upper middle income,1995,33000.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1995,282000.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,1995,4120000.0
Turkiye,TUR,Europe & Central Asia,Upper middle income,1995,7727000.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1995,899.9999762
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,1995,295000.0
Uganda,UGA,Sub-Saharan Africa,Low income,1995,160000.0
Ukraine,UKR,Europe & Central Asia,Upper middle income,1995,6127000.0
Uruguay,URY,Latin America & Caribbean,High income,1995,2177000.0
United States,USA,North America,High income,1995,79732000.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1995,92000.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1995,218000.0
"Venezuela, RB",VEN,Latin America & Caribbean,,1995,879000.0
British Virgin Islands,VGB,Latin America & Caribbean,High income,1995,219000.0
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1995,1741000.0
Viet Nam,VNM,East Asia & Pacific,Lower middle income,1995,1351000.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1995,82000.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1995,4684000.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1995,163000.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,1995,1416000.0
Aruba,ABW,Latin America & Caribbean,High income,1996,957000.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,21000.0
Albania,ALB,Europe & Central Asia,Upper middle income,1996,287000.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1996,2614000.0
Armenia,ARM,Europe & Central Asia,Upper middle income,1996,13000.0
American Samoa,ASM,East Asia & Pacific,High income,1996,35000.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1996,498000.0
Australia,AUS,East Asia & Pacific,High income,1996,4165000.0
Austria,AUT,Europe & Central Asia,High income,1996,17090000.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1996,210000.0
Burundi,BDI,Sub-Saharan Africa,Low income,1996,27000.0
Belgium,BEL,Europe & Central Asia,High income,1996,5829000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,1996,516000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1996,131000.0
Bangladesh,BGD,South Asia,Lower middle income,1996,166000.0
Bulgaria,BGR,Europe & Central Asia,High income,1996,6811000.0
Bahrain,BHR,Middle East & North Africa,High income,1996,1988000.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,1996,3416000.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,1996,349000.0
Bermuda,BMU,North America,High income,1996,570000.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1996,313000.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,1996,2666000.0
Barbados,BRB,Latin America & Caribbean,High income,1996,957000.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,1996,837000.0
Bhutan,BTN,South Asia,Lower middle income,1996,5199.999809
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1996,656000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,1996,21000.0
Canada,CAN,North America,High income,1996,43256000.0
Switzerland,CHE,Europe & Central Asia,High income,1996,6730000.0
China,CHN,East Asia & Pacific,Upper middle income,1996,51128000.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1996,237000.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1996,37000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,1996,751000.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,1996,24000.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1996,37000.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1996,940000.0
Cuba,CUB,Latin America & Caribbean,Upper middle income,1996,1004000.0
Curacao,CUW,Latin America & Caribbean,High income,1996,387000.0
Cayman Islands,CYM,Latin America & Caribbean,High income,1996,1173000.0
Cyprus,CYP,Europe & Central Asia,High income,1996,2089000.0
Germany,DEU,Europe & Central Asia,High income,1996,15205000.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,1996,20000.0
Dominica,DMA,Latin America & Caribbean,Upper middle income,1996,261000.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1996,2037000.0
Algeria,DZA,Middle East & North Africa,Upper middle income,1996,605000.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1996,494000.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1996,3896000.0
Eritrea,ERI,Sub-Saharan Africa,Low income,1996,417000.0
Spain,ESP,Europe & Central Asia,High income,1996,55077000.0
Estonia,EST,Europe & Central Asia,High income,1996,2444000.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,1996,109000.0
Finland,FIN,Europe & Central Asia,High income,1996,1724000.0
Fiji,FJI,East Asia & Pacific,Upper middle income,1996,534000.0
France,FRA,Europe & Central Asia,High income,1996,148263000.0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1996,17600.00038
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1996,217000.0
United Kingdom,GBR,Europe & Central Asia,High income,1996,25163000.0
Georgia,GEO,Europe & Central Asia,Upper middle income,1996,117000.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1996,305000.0
Guinea,GIN,Sub-Saharan Africa,Lower middle income,1996,12000.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1996,77000.0
Greece,GRC,Europe & Central Asia,High income,1996,9782000.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,1996,386000.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1996,520000.0
Guam,GUM,East Asia & Pacific,High income,1996,1373000.0
Guyana,GUY,Latin America & Caribbean,High income,1996,92000.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1996,12974000.0
Honduras,HND,Latin America & Caribbean,Lower middle income,1996,271000.0
Croatia,HRV,Europe & Central Asia,High income,1996,19085000.0
Haiti,HTI,Latin America & Caribbean,Lower middle income,1996,400000.0
Hungary,HUN,Europe & Central Asia,High income,1996,39833000.0
Indonesia,IDN,East Asia & Pacific,Upper middle income,1996,5034000.0
India,IND,South Asia,Lower middle income,1996,2288000.0
Ireland,IRL,Europe & Central Asia,High income,1996,5289000.0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1996,573000.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,1996,51000.0
Iceland,ISL,Europe & Central Asia,High income,1996,223000.0
Israel,ISR,Middle East & North Africa,High income,1996,2360000.0
Italy,ITA,Europe & Central Asia,High income,1996,59805000.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1996,1821000.0
Jordan,JOR,Middle East & North Africa,Lower middle income,1996,3164000.0
Japan,JPN,East Asia & Pacific,High income,1996,3837000.0
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1996,202000.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1996,1003000.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,1996,260000.0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1996,172000.0
"Korea, Rep.",KOR,East Asia & Pacific,High income,1996,3684000.0
Kuwait,KWT,Middle East & North Africa,High income,1996,1565000.0
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1996,403000.0
Lebanon,LBN,Middle East & North Africa,Lower middle income,1996,424000.0
Libya,LBY,Middle East & North Africa,Upper middle income,1996,1276000.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1996,422000.0
Liechtenstein,LIE,Europe & Central Asia,High income,1996,56000.0
Sri Lanka,LKA,South Asia,Lower middle income,1996,315000.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1996,312000.0
Lithuania,LTU,Europe & Central Asia,High income,1996,3497000.0
Luxembourg,LUX,Europe & Central Asia,High income,1996,724000.0
Latvia,LVA,Europe & Central Asia,High income,1996,1750000.0
"Macao SAR, China",MAC,East Asia & Pacific,High income,1996,8151000.0
Morocco,MAR,Middle East & North Africa,Lower middle income,1996,2856000.0
Monaco,MCO,Europe & Central Asia,High income,1996,226000.0
Moldova,MDA,Europe & Central Asia,Upper middle income,1996,29000.0
Maldives,MDV,South Asia,Upper middle income,1996,339000.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,1996,90394000.0
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1996,6199.999809
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1996,136000.0
Mali,MLI,Sub-Saharan Africa,Low income,1996,98000.0
Malta,MLT,Middle East & North Africa,High income,1996,1123000.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,1996,490000.0
Mongolia,MNG,East Asia & Pacific,Upper middle income,1996,71000.0
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1996,736000.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1996,509000.0
Malawi,MWI,Sub-Saharan Africa,Low income,1996,194000.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,1996,7138000.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1996,560000.0
New Caledonia,NCL,East Asia & Pacific,High income,1996,91000.0
Niger,NER,Sub-Saharan Africa,Low income,1996,68000.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1996,1230000.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1996,388000.0
Netherlands,NLD,Europe & Central Asia,High income,1996,6580000.0
Norway,NOR,Europe & Central Asia,High income,1996,2746000.0
Nepal,NPL,South Asia,Lower middle income,1996,394000.0
New Zealand,NZL,East Asia & Pacific,High income,1996,1529000.0
Pakistan,PAK,South Asia,Lower middle income,1996,369000.0
Panama,PAN,Latin America & Caribbean,High income,1996,443000.0
Philippines,PHL,East Asia & Pacific,Lower middle income,1996,2049000.0
Palau,PLW,East Asia & Pacific,High income,1996,69000.0
Poland,POL,Europe & Central Asia,High income,1996,87439000.0
Puerto Rico,PRI,Latin America & Caribbean,High income,1996,4110000.0
Portugal,PRT,Europe & Central Asia,High income,1996,9730000.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1996,12868000.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1996,220000.0
French Polynesia,PYF,East Asia & Pacific,High income,1996,184000.0
Romania,ROU,Europe & Central Asia,High income,1996,5205000.0
Russian Federation,RUS,Europe & Central Asia,High income,1996,16208000.0
Sudan,SDN,Sub-Saharan Africa,Low income,1996,38000.0
Singapore,SGP,East Asia & Pacific,High income,1996,7292000.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1996,10300.00019
San Marino,SMR,Europe & Central Asia,High income,1996,3345000.0
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1996,6400.000095
Suriname,SUR,Latin America & Caribbean,Upper middle income,1996,74000.0
Slovenia,SVN,Europe & Central Asia,High income,1996,832000.0
Sweden,SWE,Europe & Central Asia,High income,1996,2376000.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1996,1337000.0
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1996,1022000.0
Seychelles,SYC,Sub-Saharan Africa,High income,1996,142000.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1996,2435000.0
Chad,TCD,Sub-Saharan Africa,Low income,1996,20000.0
Togo,TGO,Sub-Saharan Africa,Low income,1996,58000.0
Thailand,THA,East Asia & Pacific,Upper middle income,1996,7244000.0
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1996,699.9999881
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1996,282000.0
Tonga,TON,East Asia & Pacific,Upper middle income,1996,31000.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1996,317000.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,1996,3885000.0
Turkiye,TUR,Europe & Central Asia,Upper middle income,1996,8614000.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1996,1000.0
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,1996,326000.0
Uganda,UGA,Sub-Saharan Africa,Low income,1996,174000.0
Ukraine,UKR,Europe & Central Asia,Upper middle income,1996,6750000.0
Uruguay,URY,Latin America & Caribbean,High income,1996,2258000.0
United States,USA,North America,High income,1996,82756000.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1996,173000.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1996,216000.0
"Venezuela, RB",VEN,Latin America & Caribbean,,1996,960000.0
British Virgin Islands,VGB,Latin America & Caribbean,High income,1996,244000.0
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1996,1779000.0
Viet Nam,VNM,East Asia & Pacific,Lower middle income,1996,1607000.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1996,103000.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1996,5186000.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1996,264000.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,1996,1597000.0
Aruba,ABW,Latin America & Caribbean,High income,1997,947000.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,45000.0
Albania,ALB,Europe & Central Asia,Upper middle income,1997,119000.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1997,2764000.0
Armenia,ARM,Europe & Central Asia,Upper middle income,1997,23000.0
American Samoa,ASM,East Asia & Pacific,High income,1997,26000.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1997,526000.0
Australia,AUS,East Asia & Pacific,High income,1997,4318000.0
Austria,AUT,Europe & Central Asia,High income,1997,16647000.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1997,306000.0
Burundi,BDI,Sub-Saharan Africa,Low income,1997,11000.0
Belgium,BEL,Europe & Central Asia,High income,1997,6037000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,1997,541000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1997,138000.0
Bangladesh,BGD,South Asia,Lower middle income,1997,182000.0
Bulgaria,BGR,Europe & Central Asia,High income,1997,7543000.0
Bahrain,BHR,Middle East & North Africa,High income,1997,2600000.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,1997,3446000.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1997,115000.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,1997,305000.0
Bermuda,BMU,North America,High income,1997,562000.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1997,355000.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,1997,2850000.0
Barbados,BRB,Latin America & Caribbean,High income,1997,990000.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,1997,643000.0
Bhutan,BTN,South Asia,Lower middle income,1997,5400.000095
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1997,765000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,1997,17000.0
Canada,CAN,North America,High income,1997,45076000.0
Switzerland,CHE,Europe & Central Asia,High income,1997,7039000.0
China,CHN,East Asia & Pacific,Upper middle income,1997,57588000.0
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1997,274000.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1997,30000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,1997,758000.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,1997,26000.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1997,45000.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1997,1013000.0
Cuba,CUB,Latin America & Caribbean,Upper middle income,1997,1170000.0
Curacao,CUW,Latin America & Caribbean,High income,1997,422000.0
Cayman Islands,CYM,Latin America & Caribbean,High income,1997,1248000.0
Cyprus,CYP,Europe & Central Asia,High income,1997,2194000.0
Germany,DEU,Europe & Central Asia,High income,1997,15837000.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,1997,20000.0
Dominica,DMA,Latin America & Caribbean,Upper middle income,1997,299000.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1997,2482000.0
Algeria,DZA,Middle East & North Africa,Upper middle income,1997,635000.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1997,529000.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1997,3961000.0
Eritrea,ERI,Sub-Saharan Africa,Low income,1997,410000.0
Spain,ESP,Europe & Central Asia,High income,1997,62415000.0
Estonia,EST,Europe & Central Asia,High income,1997,2618000.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,1997,139000.0
Finland,FIN,Europe & Central Asia,High income,1997,1832000.0
Fiji,FJI,East Asia & Pacific,Upper middle income,1997,547000.0
France,FRA,Europe & Central Asia,High income,1997,157551000.0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1997,17200.00076
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1997,247000.0
United Kingdom,GBR,Europe & Central Asia,High income,1997,25515000.0
Georgia,GEO,Europe & Central Asia,Upper middle income,1997,313000.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1997,325000.0
Guinea,GIN,Sub-Saharan Africa,Lower middle income,1997,17000.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1997,85000.0
Greece,GRC,Europe & Central Asia,High income,1997,10588000.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,1997,368000.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1997,576000.0
Guam,GUM,East Asia & Pacific,High income,1997,1382000.0
Guyana,GUY,Latin America & Caribbean,High income,1997,76000.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1997,11273000.0
Honduras,HND,Latin America & Caribbean,Lower middle income,1997,310000.0
Croatia,HRV,Europe & Central Asia,High income,1997,23660000.0
